branch,task,channel,time_s,common,difference
P0_LARGER_PADDING,2,Fz,0.5390625,4.0708046907688153,16.865221820822168
P0_LARGER_PADDING,2,Fz,0.54296875,6.2085844251743278,16.631028303700294
P0_LARGER_PADDING,2,Fz,0.546875,8.4869841894204274,16.370819072402593
P0_LARGER_PADDING,2,Fz,0.55078125,10.924847023279797,16.114879749570274
P0_LARGER_PADDING,2,Fz,0.5546875,13.510887909412599,15.892581667534188
P0_LARGER_PADDING,2,Fz,0.55859375,16.195566197652113,15.721648077158438
P0_LARGER_PADDING,2,Fz,0.5625,18.900199682373682,15.598364392287456
P0_LARGER_PADDING,2,Fz,0.56640625,21.541719150065688,15.494037064047506
P0_LARGER_PADDING,2,Fz,0.5703125,24.06133811285989,15.364899450932185
P0_LARGER_PADDING,2,Fz,0.57421875,26.44130956218028,15.180296390252042
P0_LARGER_PADDING,2,Fz,0.578125,28.700311314130467,14.957871415182058
P0_LARGER_PADDING,2,Fz,0.58203125,30.872042651945375,14.776792835986974
P0_LARGER_PADDING,2,Fz,0.5859375,32.982766786944374,14.746972742040708
P0_LARGER_PADDING,2,Fz,0.58984375,35.041854010221549,14.946221494855919
P0_LARGER_PADDING,2,Fz,0.59375,37.046368220999646,15.366625524227228
P0_LARGER_PADDING,2,Fz,0.59765625,38.989057775517161,15.906922818735243
P0_LARGER_PADDING,2,Fz,0.6015625,40.859573516864678,16.415371486834658
P0_LARGER_PADDING,2,Fz,0.60546875,42.63940101440452,16.756324437261654
P0_LARGER_PADDING,2,Fz,0.609375,44.300194727850375,16.862972272906518
P0_LARGER_PADDING,2,Fz,0.61328125,45.813568785642111,16.749785910348365
P0_LARGER_PADDING,2,Fz,0.6171875,47.16927860297605,16.483199457544799
P0_LARGER_PADDING,2,Fz,0.62109375,48.388664366427008,16.134399352672652
P0_LARGER_PADDING,2,Fz,0.625,49.521400351483358,15.746722410269598
P0_LARGER_PADDING,2,Fz,0.62890625,50.625787633635568,15.334560372518943
P0_LARGER_PADDING,2,Fz,0.6328125,51.745101604355497,14.903663143782971
P0_LARGER_PADDING,2,Fz,0.63671875,52.894142982404773,14.468462383294302
P0_LARGER_PADDING,2,Fz,0.640625,54.060911052875724,14.051101491624138
P0_LARGER_PADDING,2,Fz,0.64453125,55.217404432069031,13.665267164741856
P0_LARGER_PADDING,2,Fz,0.6484375,56.330059760376699,13.297754602440328
P0_LARGER_PADDING,2,Fz,0.65234375,57.365387432413215,12.901608174613465
P0_LARGER_PADDING,2,Fz,0.65625,58.293265441549629,12.412321610809968
P0_LARGER_PADDING,2,Fz,0.66015625,59.091830566969833,11.787132153552896
P0_LARGER_PADDING,2,Fz,0.6640625,59.753321144473482,11.044817819340622
P0_LARGER_PADDING,2,Fz,0.66796875,60.285550934209773,10.2713708492157
P0_LARGER_PADDING,2,Fz,0.671875,60.704784160614295,9.5782542495144654
P0_LARGER_PADDING,2,Fz,0.67578125,61.022749790639523,9.0399908869616539
P0_LARGER_PADDING,2,Fz,0.6796875,61.237768828149655,8.6561202168344096
P0_LARGER_PADDING,2,Fz,0.68359375,61.339981734167729,8.3622696084386661
P0_LARGER_PADDING,2,Fz,0.6875,61.330221290676391,8.0784453718889324
P0_LARGER_PADDING,2,Fz,0.69140625,61.23791695097762,7.7595956528954204
P0_LARGER_PADDING,2,Fz,0.6953125,61.119557916419552,7.4151241560087229
P0_LARGER_PADDING,2,Fz,0.69921875,61.033166797553733,7.0856882835104287
