task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
1,A_Task-1,5,5,Fz,3,2,28.063287039972622,14.540485650954494,21.301886345463558,13.522801389018127
1,A_Task-1,5,5,F3,3,2,35.575453549069451,-65.669143206727725,-15.046844828829137,101.24459675579718
1,A_Task-1,5,5,F4,3,2,41.381028866883909,-77.892454597595588,-18.255712865355839,119.2734834644795
1,A_Task-1,6,5,Fz,2,3,2.6983342632608127,10.461610596775099,6.5799724300179561,-7.7632763335142858
1,A_Task-1,6,5,F3,2,3,5.8444896269558377,3.8126948275295796,4.8285922272427086,2.0317947994262582
1,A_Task-1,6,5,F4,2,3,13.710995977152322,15.675198182869588,14.693097080010954,-1.9642022057172657
1,A_Task-1,8,5,Fz,3,2,-2.5872081460091607,-3.2330165311138543,-2.9101123385615075,0.64580838510469363
1,A_Task-1,8,5,F3,3,2,-23.515906717992163,6.301323860842917,-8.6072914285746229,-29.81723057883508
1,A_Task-1,8,5,F4,3,2,-22.059448486915997,31.692717373746142,4.8166344434150723,-53.752165860662139
1,A_Task-1,9,5,Fz,4,1,-3.656311717109058,-0.37023050929265844,-2.0132711132008581,-3.2860812078163995
1,A_Task-1,9,5,F3,4,1,6.6065798683791686,-5.1369611986299661,0.73480933487460121,11.743541067009135
1,A_Task-1,9,5,F4,4,1,-7.6395816762910513,-1.7825274046222543,-4.7110545404566526,-5.8570542716687974
1,A_Task-1,10,5,Fz,1,4,-19.374626291400229,-8.6342111328579261,-14.004418712129077,-10.740415158542303
1,A_Task-1,10,5,F3,1,4,39.649447957589892,80.849278451973404,60.249363204781645,-41.199830494383512
1,A_Task-1,10,5,F4,1,4,143.45064353904672,86.49008844448484,114.97036599176579,56.960555094561883
1,A_Task-1,11,5,Fz,3,2,4.4147500302833818,-2.9446665213696401,0.73504175445687081,7.3594165516530214
1,A_Task-1,11,5,F3,3,2,0.96434130653179173,-7.9587047569455356,-3.4971817252068718,8.9230460634773276
1,A_Task-1,11,5,F4,3,2,-8.4906019828740238,-8.0472904466302122,-8.268946214752118,-0.44331153624381159
1,A_Task-1,12,5,Fz,2,3,-3.9934973790810462,5.2776630583656869,0.64208283964232038,-9.2711604374467331
1,A_Task-1,12,5,F3,2,3,5.5987487588171394,-21.11384463956243,-7.7575479403726453,26.712593398379568
1,A_Task-1,12,5,F4,2,3,2.3963630021057774,-29.639802196337929,-13.621719597116076,32.036165198443705
1,A_Task-1,13,5,Fz,2,3,-8.4380766947955976,-1.2121100784719048,-4.8250933866337515,-7.2259666163236931
1,A_Task-1,13,5,F3,2,3,-2.9372283143308708,-11.725509576297739,-7.3313689453143045,8.7882812619668691
1,A_Task-1,13,5,F4,2,3,2.6718711588308697,-14.612102864915142,-5.9701158530421363,17.283974023746012
1,A_Task-1,14,5,Fz,3,2,-1.8618433022127687,-11.97695752370057,-6.9194004129566693,10.115114221487801
1,A_Task-1,14,5,F3,3,2,-0.10624622308879704,-39.162539323576212,-19.634392773332504,39.056293100487416
1,A_Task-1,14,5,F4,3,2,12.138253721130203,-34.004521730206825,-10.93313400453831,46.14277545133703
1,A_Task-1,15,5,Fz,4,1,-9.211927504794847,-3.0215986404892359,-6.1167630726420414,-6.1903288643056111
