task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,11,P0,common,F3,0.84751271188336597,3.5379826425732275,4.131730291954292,6.1419370744349671
1,11,P0,common,F4,0.94429684379618983,2.4663387067514808,7.328181500685794,7.9217759680191282
1,11,P0,difference,Fz,-0.25204408444943138,35.166478671465889,22.860904839899753,45.23993886655132
1,11,P0,difference,F3,-0.7098241190467971,10.713881641374465,6.2083450073770647,5.8572409228369091
1,11,P0,difference,F4,-0.1834560386790571,13.976128723371071,5.0651535245586556,12.147936318050656
1,11,W0,common,Fz,0.88819867904539507,4.9920703456014506,4.6812339415719721,6.8333866220538839
1,11,W0,common,F3,0.88033873015150488,5.3900276287942779,5.5504473492874205,7.4736145754077308
1,11,W0,common,F4,0.93121045531580704,5.0389267443428336,5.9156377581762589,8.3579303113183698
1,11,W0,difference,Fz,-0.29666019709613567,16.261086628876082,6.7797101175997394,11.135776521706251
1,11,W0,difference,F3,-0.62802094540086806,12.560050278728299,8.6201148991916945,5.897846099289751
1,11,W0,difference,F4,-0.184521466142821,14.481818388333975,6.9884250965560604,9.3957279114704555
1,11,SELECTED,common,Fz,0.7820616316778698,18.283754417155404,4.6190720837693497,17.293842643453043
1,11,SELECTED,common,F3,0.90539916142093768,4.3014478662455904,5.5315316815183602,6.1419370744349671
1,11,SELECTED,common,F4,0.91312105993523696,5.6779736113742736,5.8769287196181041,7.9217759680191282
1,11,SELECTED,difference,Fz,-0.044351293589547432,49.29754642111461,6.6404685917644235,45.23993886655132
1,11,SELECTED,difference,F3,-0.59171729860803035,10.656758862463359,8.5775400502287269,5.8572409228369091
1,11,SELECTED,difference,F4,0.1775012625370947,15.74190718021905,6.9091080098659434,12.147936318050656
1,12,P0,common,Fz,0.60889128066237597,18.241221725343713,22.184288437128718,6.2862130179543554
1,12,P0,common,F3,0.87240790575566096,5.6848146969450815,3.9396134300002061,6.9162557224361754
1,12,P0,common,F4,0.57652316203549925,8.4234370250229471,6.3222988807346567,10.077286471972082
1,12,P0,difference,Fz,-0.080486473477081516,58.046228469628133,59.41142480226226,3.7778332259543159
1,12,P0,difference,F3,-0.76230891737218109,25.469746616293239,11.541201696436756,14.408367576156937
1,12,P0,difference,F4,-0.18277837705248895,20.350375269157535,14.224470918545697,9.4287041281090609
1,12,W0,common,Fz,0.92998397611608707,3.9753594816046576,5.7759418854670219,5.5161073097890219
1,12,W0,common,F3,0.94823564654120818,3.4111568971216073,5.2563411063954417,7.1372074119039226
1,12,W0,common,F4,0.93767202652822246,3.941913113925366,6.3789073519374924,7.5914318662211544
1,12,W0,difference,Fz,0.0020594154483604284,6.8710937246911588,6.766388898300348,3.8893164091945547
1,12,W0,difference,F3,-0.50822977505357159,15.076575551905808,5.3841354787209266,10.397307341060197
1,12,W0,difference,F4,0.058250986722848022,12.436787427110824,9.5481068754946783,4.7925063310661393
1,12,SELECTED,common,Fz,0.49508183405931316,21.221199310402231,22.184288437128718,5.4797153952295092
1,12,SELECTED,common,F3,0.87847305146570587,5.8962666092879976,3.9396134300002061,7.1139507339043044
1,12,SELECTED,common,F4,0.67567185481170844,5.6468566150608668,6.3222988807346567,7.5689812997982315
1,12,SELECTED,difference,Fz,-0.066284519489291371,57.890216146777213,59.41142480226226,3.698876749978095
1,12,SELECTED,difference,F3,-0.75966613145836237,21.522245480459876,11.541201696436756,10.376648078448147
1,12,SELECTED,difference,F4,-0.13423732413024439,17.408067395847567,14.224470918545697,4.5913452908027113
1,13,P0,common,Fz,0.19816382890695991,12.191020687262236,11.746533356020771,17.742948574753132
1,13,P0,common,F3,0.6989362288306018,5.5965839728196531,4.7887614978035016,6.3970209730558043
1,13,P0,common,F4,0.81704433111475794,4.5220842240762291,7.1951762717388199,7.9924269772267316
1,13,P0,difference,Fz,-0.12383250001421645,28.831406059524017,41.158977745102,26.593243512355247
1,13,P0,difference,F3,-0.79107754197459701,29.097868490041105,13.445149911673241,16.099999560706294
1,13,P0,difference,F4,-0.19293217800802717,21.349018703605058,14.845352970184695,9.5053859253503639
1,13,W0,common,Fz,0.83343966754488419,3.6495938429592689,5.3024592420427821,6.1176786809594796
1,13,W0,common,F3,0.67515055652932632,5.523718644289918,7.5308675640295073,5.8945464082808847
1,13,W0,common,F4,0.91556277484919646,3.3404969291010262,7.7812621534400774,6.1986623707359758
1,13,W0,difference,Fz,-0.023545327025621812,13.586884409186997,9.3408963863375316,5.8092132671129173
1,13,W0,difference,F3,-0.55912574039645957,17.860063948799539,7.4514963673044878,11.324365467470784
1,13,W0,difference,F4,0.19321979420348184,11.016156782827755,8.5360610734137641,4.5927694069493352
1,13,SELECTED,common,Fz,0.20114180039350324,19.735567402534258,5.3048550195314093,17.742948574753132
1,13,SELECTED,common,F3,0.64734900841648724,5.8027913837715586,7.5268722116575582,6.3970209730558043
1,13,SELECTED,common,F4,0.91530016743941656,5.3330206886849769,7.7707178341778587,7.9924269772267316
1,13,SELECTED,difference,Fz,-0.17815588248297723,22.044544729233102,9.4089728434227418,26.593243512355247
1,13,SELECTED,difference,F3,-0.36580260988220187,22.191441743477966,7.3551970280251595,16.099999560706294
1,13,SELECTED,difference,F4,0.33543445528645549,14.148050454419415,8.4798310816352718,9.5053859253503639
1,14,P0,common,Fz,0.27651026820971003,11.627694879307006,18.369202598792949,12.48058127836469
1,14,P0,common,F3,0.63901416881080786,9.0388335805197091,6.4070354356863728,7.2005837080702797
1,14,P0,common,F4,0.75033813371777669,5.5885191361130939,8.5259042265365181,7.6703592278092962
1,14,P0,difference,Fz,-0.24907754892092432,29.716537601864076,41.296251159690343,27.686915051970225
1,14,P0,difference,F3,-0.66829124547143215,16.887717509867443,9.3711142242264565,8.3197391472504556
1,14,P0,difference,F4,-0.72553194730584714,23.485880083561039,14.48957160824588,12.358288102862826
1,14,W0,common,Fz,0.85698391338843338,4.714715772966386,7.0487985654619596,4.553934964043024
1,14,W0,common,F3,0.46375591944373484,18.125321775419518,9.35862171129458,12.3191685318107
1,14,W0,common,F4,0.78947432608308954,9.6222197006710033,8.6385859500774984,8.3503402413165784
1,14,W0,difference,Fz,-0.33311438506165769,10.255024677197774,6.7138554922324074,6.2669878562352972
1,14,W0,difference,F3,-0.32658801342382915,7.8891205225850349,5.7407960417393298,4.0246920294285555
1,14,W0,difference,F4,-0.4363557071514591,12.221228010274434,8.1519031801673343,7.6126885580415014
1,14,SELECTED,common,Fz,0.65439488179623906,16.923891178198222,18.369202598792949,4.5087022741748592
1,14,SELECTED,common,F3,0.67333842593111815,14.049293218319255,6.4070354356863728,12.31142027143993
1,14,SELECTED,common,F4,0.85496788673228064,7.7344059333132904,8.5259042265365181,8.317583186914522
1,14,SELECTED,difference,Fz,0.023224297473679944,36.935343331123349,41.296251159690343,6.1757632373576605
1,14,SELECTED,difference,F3,-0.28243902881384908,10.158811742332967,9.3711142242264565,3.795769172333884
1,14,SELECTED,difference,F4,-0.46017197194956116,18.621697145958549,14.48957160824588,7.4427931052199252
1,15,P0,common,Fz,0.63410747198107187,21.720647650939224,24.945901599141052,4.3284338976186056
1,15,P0,common,F3,0.51898411176260217,7.1355636443409765,7.3997836530328893,3.9658804184275351
1,15,P0,common,F4,0.42160749799565173,9.2602942843407501,10.796528202278941,5.7312316929124423
1,15,P0,difference,Fz,-0.39442111604654567,75.613679391842396,69.031695036492664,7.5330812664362261
1,15,P0,difference,F3,0.031618742455097083,4.8639796373879909,4.5222843187076105,2.6174960713201596
1,15,P0,difference,F4,-0.34995437459143208,18.178215069367724,13.044058500789685,8.5966011739896526
1,15,W0,common,Fz,0.92988245835066896,5.0692141340734365,7.2259454397305927,3.9870809580985189
1,15,W0,common,F3,0.6713831116962119,9.7600942875498333,8.4787557687673996,6.7772435170819385
1,15,W0,common,F4,0.64737718817894518,10.345471193226153,10.65327668781655,5.2140006702508357
1,15,W0,difference,Fz,0.29176371822029334,15.39588266843087,10.569309836777258,6.4048862852795301
