trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-1_trial-052,1,Fz,2,3,2.5970903824167717,0.026765038839477992
A_Task-1_trial-052,1,F3,2,3,17.418323174375182,0.14832056857774617
A_Task-1_trial-052,1,F4,2,3,22.1882086389938,0.15064539090752646
A_Task-1_trial-053,1,Fz,2,3,2.7571588601557537,0.028414669153719575
A_Task-1_trial-053,1,F3,2,3,26.507758859697876,0.22571896424428411
A_Task-1_trial-053,1,F4,2,3,20.048112364219733,0.13611534726414287
A_Task-1_trial-054,1,Fz,2,3,5.463356789687098,0.056304146232225738
A_Task-1_trial-054,1,F3,2,3,8.3458795447126235,0.071066863725104901
A_Task-1_trial-054,1,F4,2,3,14.25739962924472,0.096799682003071041
A_Task-1_trial-055,1,Fz,2,3,2.4590642755603001,0.025342572322376026
A_Task-1_trial-055,1,F3,2,3,7.7498202010647539,0.065991297043348149
A_Task-1_trial-055,1,F4,2,3,1.5125431862022554,0.010269313005715784
A_Task-1_trial-056,1,Fz,2,3,3.4208518402063159,0.035254542154986392
A_Task-1_trial-056,1,F3,2,3,3.7109356760531345,0.031599372908488223
A_Task-1_trial-056,1,F4,2,3,1.9292484233930038,0.013098505950994514
A_Task-1_trial-057,1,Fz,2,3,4.6397805822957912,0.047816552066332389
A_Task-1_trial-057,1,F3,2,3,6.6216263710398939,0.056384496855981951
A_Task-1_trial-057,1,F4,2,3,4.6710587055027117,0.031713847480495432
A_Task-1_trial-058,1,Fz,2,3,4.7667529986398653,0.049125101694793553
A_Task-1_trial-058,1,F3,2,3,4.5221937324555181,0.038507400448469557
A_Task-1_trial-058,1,F4,2,3,4.5119148071078827,0.03063335039421403
A_Task-1_trial-059,1,Fz,2,3,2.2450239660022207,0.023136720251411575
A_Task-1_trial-059,1,F3,2,3,1.1478727145976586,0.0097743698965507848
A_Task-1_trial-059,1,F4,2,3,4.8111300603561151,0.032664852780209197
A_Task-1_trial-060,1,Fz,2,3,3.7836805923093739,0.038993774993344839
A_Task-1_trial-060,1,F3,2,3,6.5549371499974196,0.055816624559435153
A_Task-1_trial-060,1,F4,2,3,2.4690733200861104,0.016763611769453051
A_Task-1_trial-061,1,Fz,2,3,2.0926148660938462,0.021566025790350305
A_Task-1_trial-061,1,F3,2,3,13.411953915626382,0.11420551855592677
A_Task-1_trial-061,1,F4,2,3,2.0977953392629369,0.014242844209237767
A_Task-1_trial-062,1,Fz,2,3,3.5622033101011703,0.036711279127779953
A_Task-1_trial-062,1,F3,2,3,0.30371618802395772,0.0025862051842194607
A_Task-1_trial-062,1,F4,2,3,0.58013298480350883,0.0039387749455576547
A_Task-1_trial-063,1,Fz,2,3,0.91039022200970021,0.0093822801917643663
A_Task-1_trial-063,1,F3,2,3,4.3295222091077319,0.03686676319506705
A_Task-1_trial-063,1,F4,2,3,3.8999850058308234,0.026478693043492093
