task,partition,inner_fold,candidate,loss,n_train,n_validation
1,outer_2,0,U0_L1,0.087015249968211278,80,40
1,outer_2,0,U0_L10,0.08691966588944193,80,40
1,outer_2,0,U0_L100,0.086794896355534529,80,40
1,outer_2,0,U2_L1,0.087022672016706257,80,40
1,outer_2,0,U2_L10,0.086952559516277741,80,40
1,outer_2,0,U2_L100,0.086840542543360974,80,40
1,outer_2,0,U4_L1,0.087030570309268807,80,40
1,outer_2,0,U4_L10,0.086997630318674982,80,40
1,outer_2,0,U4_L100,0.086990740583618345,80,40
1,outer_2,1,P0,0.60424475328136373,80,40
1,outer_2,1,W0,0.63313486914824679,80,40
1,outer_2,1,U0_L1,0.63307463653818108,80,40
1,outer_2,1,U0_L10,0.63280173247789429,80,40
1,outer_2,1,U0_L100,0.63197422398844483,80,40
1,outer_2,1,U2_L1,0.63309293695092828,80,40
1,outer_2,1,U2_L10,0.63295625692174207,80,40
1,outer_2,1,U2_L100,0.63279576045707342,80,40
1,outer_2,1,U4_L1,0.63309850880062213,80,40
1,outer_2,1,U4_L10,0.63298565927448391,80,40
1,outer_2,1,U4_L100,0.63287112487591612,80,40
1,outer_2,3,P0,0.036391069444468842,80,40
1,outer_2,3,W0,0.046932678029184598,80,40
1,outer_2,3,U0_L1,0.04691927927513502,80,40
1,outer_2,3,U0_L10,0.046899432150719705,80,40
1,outer_2,3,U0_L100,0.0469440748123875,80,40
1,outer_2,3,U2_L1,0.04691722184460298,80,40
1,outer_2,3,U2_L10,0.046866616209274292,80,40
1,outer_2,3,U2_L100,0.046840559243565755,80,40
1,outer_2,3,U4_L1,0.046920237484495232,80,40
1,outer_2,3,U4_L10,0.046885742342306025,80,40
1,outer_2,3,U4_L100,0.046906416356654101,80,40
1,outer_3,0,P0,0.13985093367826457,80,40
1,outer_3,0,W0,0.086980941671285755,80,40
1,outer_3,0,U0_L1,0.086953364799188027,80,40
1,outer_3,0,U0_L10,0.086844111542829922,80,40
1,outer_3,0,U0_L100,0.086590625401868335,80,40
1,outer_3,0,U2_L1,0.086964011722725762,80,40
1,outer_3,0,U2_L10,0.086891783497974301,80,40
1,outer_3,0,U2_L100,0.086716678579689135,80,40
1,outer_3,0,U4_L1,0.086967865674096131,80,40
1,outer_3,0,U4_L10,0.08691838192893811,80,40
1,outer_3,0,U4_L100,0.086814940111599959,80,40
1,outer_3,1,P0,0.17362605608700454,80,40
1,outer_3,1,W0,0.13512546829759792,80,40
1,outer_3,1,U0_L1,0.13510200127352934,80,40
1,outer_3,1,U0_L10,0.13503916496344093,80,40
1,outer_3,1,U0_L100,0.1350559692348442,80,40
1,outer_3,1,U2_L1,0.13511349565015493,80,40
1,outer_3,1,U2_L10,0.13507698267350651,80,40
1,outer_3,1,U2_L100,0.13502152320655778,80,40
1,outer_3,1,U4_L1,0.13511553497689854,80,40
