task,method,family,time_s,truth_F3,restored_F3
1,P0,slow_common,0.47265625,14.601209032187612,10.527349374817163
1,P0,slow_common,0.4765625,14.532035591996156,10.465454926479959
1,P0,slow_common,0.48046875,14.458251709621056,10.399545986157062
1,P0,slow_common,0.484375,14.379925513198099,10.329691011546963
1,P0,slow_common,0.48828125,14.297129084048313,10.255962343810324
1,P0,slow_common,0.4921875,14.209938346165636,10.178436096842052
1,P0,slow_common,0.49609375,14.118432950237368,10.097192041084128
1,P0,slow_common,0.5,14.022696152445294,10.012313482127043
1,P0,slow_common,0.50390625,13.922814688305522,9.9238871343578676
1,P0,slow_common,0.5078125,13.818878641814475,9.8320029899223531
1,P0,slow_common,0.51171875,13.710981310177173,9.7367541832771796
1,P0,slow_common,0.515625,13.599219064401849,9.6382368516163677
1,P0,slow_common,0.51953125,13.483691206052155,9.5365499914630689
1,P0,slow_common,0.5234375,13.364499820454592,9.4317953117243238
1,P0,slow_common,0.52734375,13.241749626664353,9.3240770835119662
1,P0,slow_common,0.53125,13.115547824497627,9.2135019870376578
1,P0,slow_common,0.53515625,12.98600393894235,9.1001789558939929
1,P0,slow_common,0.5390625,12.853229662262574,8.9842190190368107
1,P0,slow_common,0.54296875,12.717338694113936,8.865735140786164
1,P0,slow_common,0.546875,12.578446579989293,8.7448420591649363
1,P0,slow_common,0.55078125,12.436670548314304,8.6216561228948283
1,P0,slow_common,0.5546875,12.292129346512537,8.4962951273693061
1,P0,slow_common,0.55859375,12.144943076358988,8.3688781499222351
1,P0,slow_common,0.5625,11.995233028938982,8.2395253847092107
1,P0,slow_common,0.56640625,11.843121519527156,8.1083579775161851
1,P0,slow_common,0.5703125,11.688731722697883,7.9754978608066738
1,P0,slow_common,0.57421875,11.532187507974569,7.8410675893149593
1,P0,slow_common,0.578125,11.37361327632056,7.7051901764879007
1,P0,slow_common,0.58203125,11.213133797768961,7.567988932072657
1,P0,slow_common,0.5859375,11.050874050482649,7.4295873011414777
1,P0,slow_common,0.58984375,10.886959061528966,7.2901087048380004
1,P0,slow_common,0.59375,10.721513749646208,7.1496763831221299
1,P0,slow_common,0.59765625,10.554662770271156,7.0084132397826062
1,P0,slow_common,0.6015625,10.386530363088225,6.8664416899778384
1,P0,slow_common,0.60546875,10.217240202351828,6.7238835105564583
1,P0,slow_common,0.609375,10.046915250223959,6.5808596933995727
1,P0,slow_common,0.61328125,9.875677613358901,6.4374903020165233
1,P0,slow_common,0.6171875,9.7036484029565777,6.2938943316155616
1,P0,slow_common,0.62109375,9.530947598495036,6.1501895728599392
1,P0,slow_common,0.625,9.3576939153415069,6.006492479508645
1,P0,slow_common,0.62890625,9.1840046764296677,5.8629180401294381
1,P0,slow_common,0.6328125,9.0099956881790995,5.7195796540600314
1,P0,slow_common,0.63671875,8.8357811208206467,5.5765890117810812
1,P0,slow_common,0.640625,8.6614733932791879,5.434055979852352
1,P0,slow_common,0.64453125,8.4871830627526972,5.292088490550932
1,P0,slow_common,0.6484375,8.3130187191139928,5.1507924363376949
1,P0,slow_common,0.65234375,8.1390868842486483,5.0102715692655142
1,P0,slow_common,0.65625,7.9654919164299551,4.8706274054299259
1,P0,slow_common,0.66015625,7.7923359198188082,4.7319591345500776
1,P0,slow_common,0.6640625,7.6197186591636958,4.5943635347550629
1,P0,slow_common,0.66796875,7.4477374797631901,4.4579348926378781
1,P0,slow_common,0.671875,7.2764872327406467,4.3227649286266843
1,P0,slow_common,0.67578125,7.1060602056682649,4.1889427277103763
1,P0,slow_common,0.6796875,6.9365460585652245,4.0565546755431487
1,P0,slow_common,0.68359375,6.7680317652824717,3.9256843999404496
1,P0,slow_common,0.6875,6.6006015602746029,3.7964127177667439
1,P0,slow_common,0.69140625,6.4343368907475993,3.6688175872037143
1,P0,slow_common,0.6953125,6.2693163741596223,3.5429740653760127
1,P0,slow_common,0.69921875,6.1056157610409203,3.4189542713005041
1,P0,slow_common,0.703125,5.9433079030879572,3.2968273541140354
1,P0,slow_common,0.70703125,5.7824627264763739,3.1766594665242391
1,P0,slow_common,0.7109375,5.6231472103272147,3.0585137434176972
1,P0,slow_common,0.71484375,5.4654253702510935,2.9424502855500361
1,P0,slow_common,0.71875,5.3093582468855542,2.828526148233105
1,P0,slow_common,0.72265625,5.1550038993319474,2.7167953349255001
1,P0,slow_common,0.7265625,5.0024174033897006,2.6073087956241494
1,P0,slow_common,0.73046875,4.8516508544776915,2.50011442994662
1,P0,slow_common,0.734375,4.7027533751249271,2.3952570947862242
1,P0,slow_common,0.73828125,4.5557711269055945,2.2927786164148927
1,P0,slow_common,0.7421875,4.4107473266869022,2.1927178069021425
1,P0,slow_common,0.74609375,4.2677222670520116,2.0951104847123303
1,P0,slow_common,0.75,4.1267333407546962,1.9999894993367504
1,P0,slow_common,0.75390625,3.9878150690572278,1.9073847598119444
1,P0,slow_common,0.7578125,3.8509991337983669,1.8173232669710147
1,P0,slow_common,0.76171875,3.7163144130341239,1.7298291492705311
1,P0,slow_common,0.765625,3.5837870200903978,1.6449237020320062
1,P0,slow_common,0.76953125,3.4534403458634024,1.5626254299337603
1,P0,slow_common,0.7734375,3.3252951042011123,1.4829500925863357
1,P0,slow_common,0.77734375,3.1993693801968774,1.4059107530224653
1,P0,slow_common,0.78125,3.0756786812245522,1.3315178289308927
1,P0,slow_common,0.78515625,2.9542359905433768,1.2597791464621428
1,P0,slow_common,0.7890625,2.8350518232999953,1.1906999964335698
1,P0,slow_common,0.79296875,2.7181342847547594,1.1242831927607058
1,P0,slow_common,0.796875,2.6034891305595531,1.0605291329420701
1,P0,outside_subspace_stress,-0.19921875,-0.9934664313765813,-0.34722977919657227
1,P0,outside_subspace_stress,-0.1953125,-0.80930123642791152,-0.47411607311339388
1,P0,outside_subspace_stress,-0.19140625,-0.67950449541410174,-0.52479017368600245
1,P0,outside_subspace_stress,-0.1875,-0.59797845344229039,-0.50722570449705151
1,P0,outside_subspace_stress,-0.18359375,-0.55371253555635658,-0.45625085401870946
1,P0,outside_subspace_stress,-0.1796875,-0.53883122872925404,-0.41654812624660231
1,P0,outside_subspace_stress,-0.17578125,-0.55379023229544633,-0.42310399016373623
1,P0,outside_subspace_stress,-0.171875,-0.60729567970478271,-0.48764621596174884
1,P0,outside_subspace_stress,-0.16796875,-0.7051014150237167,-0.59532337460282136
1,P0,outside_subspace_stress,-0.1640625,-0.83145617469612865,-0.71158105514024161
1,P0,outside_subspace_stress,-0.16015625,-0.94083487340019978,-0.79603192563576919
1,P0,outside_subspace_stress,-0.15625,-0.97579844373062963,-0.81816554272208697
1,P0,outside_subspace_stress,-0.15234375,-0.90454799119960216,-0.76919504935404481
1,P0,outside_subspace_stress,-0.1484375,-0.74916207040313021,-0.66564793504508779
1,P0,outside_subspace_stress,-0.14453125,-0.57808412823710076,-0.54344070790349985
1,P0,outside_subspace_stress,-0.140625,-0.46553036599793157,-0.44498510566741445
1,P0,outside_subspace_stress,-0.13671875,-0.44887940222610007,-0.40447846196519122
1,P0,outside_subspace_stress,-0.1328125,-0.5149104533649248,-0.43657702615585448
1,P0,outside_subspace_stress,-0.12890625,-0.61862402864313593,-0.53137439804687381
1,P0,outside_subspace_stress,-0.125,-0.71271227304088225,-0.65571639061239095
1,P0,outside_subspace_stress,-0.12109375,-0.76390975719057952,-0.75925197946575318
1,P0,outside_subspace_stress,-0.1171875,-0.74949888769513151,-0.7838384572538214
1,P0,outside_subspace_stress,-0.11328125,-0.6443230943901993,-0.67590064751438772
1,P0,outside_subspace_stress,-0.109375,-0.41487638545215155,-0.40131186188068402
1,P0,outside_subspace_stress,-0.10546875,-0.031664595295350872,0.039554439903887739
1,P0,outside_subspace_stress,-0.1015625,0.50309056325258394,0.60177092740536342
1,P0,outside_subspace_stress,-0.09765625,1.1301042486643955,1.1973001444943674
1,P0,outside_subspace_stress,-0.09375,1.7310791598892834,1.7121399193345792
1,P0,outside_subspace_stress,-0.08984375,2.1594101711807947,2.0373000526285501
1,P0,outside_subspace_stress,-0.0859375,2.2944879862548313,2.1043431406401449
1,P0,outside_subspace_stress,-0.08203125,2.0962444872142685,1.9115274237402802
1,P0,outside_subspace_stress,-0.078125,1.6326138375169594,1.5279592857249471
1,P0,outside_subspace_stress,-0.07421875,1.0617671581964319,1.0711404464533079
1,P0,outside_subspace_stress,-0.0703125,0.57106034588908827,0.66482462634830664
1,P0,outside_subspace_stress,-0.06640625,0.29725783765406355,0.39374017404658646
1,P0,outside_subspace_stress,-0.0625,0.26611994927269206,0.27438213088060714
1,P0,outside_subspace_stress,-0.05859375,0.3841652904187422,0.25477943163112721
1,P0,outside_subspace_stress,-0.0546875,0.49029093169681887,0.24343493128582744
1,P0,outside_subspace_stress,-0.05078125,0.44162438123217573,0.15448364941513071
1,P0,outside_subspace_stress,-0.046875,0.18723865412999452,-0.051090988337568088
1,P0,outside_subspace_stress,-0.04296875,-0.20884604107317972,-0.34613960492877582
1,P0,outside_subspace_stress,-0.0390625,-0.60271192377261118,-0.64754584780948166
1,P0,outside_subspace_stress,-0.03515625,-0.83996308575900025,-0.85032575805964983
1,P0,outside_subspace_stress,-0.03125,-0.82361367392738016,-0.87022128997257175
